City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
vadso,70.0744,29.7487,8.09,81,4,2.06
colonia,50.9333,6.95,27.08,70,0,3.09
iqaluit,63.7506,-68.5145,6.5,70,40,3.09
guerrero negro,27.9769,-114.0611,26.74,57,0,6.57
glace bay,46.1969,-59.957,25.25,53,75,3.09
fort bragg,35.139,-79.006,29.54,59,20,3.09
kodungallur,10.2167,76.2167,25.69,92,100,2.93
margaret river,-33.95,115.0667,14.31,66,58,5.47
klyuchi,52.2667,79.1667,16.16,90,83,2.84
avarua,-21.2078,-159.775,23.03,56,75,4.12
atafu village,-8.5421,-172.5159,27.68,78,17,5.77
grantsville,40.5999,-112.4644,17.99,82,100,6.17
hauterive,46.0901,3.4459,22.05,63,0,0.49
saint-pierre,-21.3393,55.4781,21.82,49,0,2.57
pemba,-12.974,40.5178,22.9,94,20,2.24
east london,-33.0153,27.9116,14.69,66,95,4.8
new norfolk,-42.7826,147.0587,12.35,67,100,1.55
general pinedo,-27.3167,-61.2833,13.08,31,0,3.97
zouerate,22.7187,-12.4521,36.74,9,16,1.86
fereydun kenar,36.6864,52.5225,25.88,76,46,4.58
kapa'a,22.0752,-159.319,28.46,69,20,6.17
college,64.8569,-147.8028,13.49,64,75,5.66
bilibino,68.0546,166.4372,1.54,69,100,8.39
manay,7.215,126.5397,26.13,80,15,1.55
nemuro,43.3236,145.575,18.65,100,100,4.32
cockburn town,21.4612,-71.1419,28.56,85,2,9.08
luderitz,-26.6481,15.1594,14.92,64,9,3.35
longyearbyen,78.2186,15.6401,9.91,93,75,2.06
udachny,66.4167,112.4,5.05,85,100,8.03
afif,23.9065,42.9172,30.95,19,33,4.02
at taj,24.2049,23.2857,34.24,41,10,0.43
teknaf,20.8624,92.3058,25.52,92,100,1.83
marka,1.7159,44.7717,24.6,87,66,8.02
ar ruways,24.1103,52.7306,33.01,73,5,2.83
codrington,-38.2667,141.9667,13.76,70,79,8.33
bulawayo,-20.15,28.5833,16.23,22,0,4.91
nadym,65.5333,72.5167,11.48,90,91,3.82
donoratico,43.168,10.5664,26.32,62,0,2.15
kavieng,-2.5744,150.7967,28.3,79,92,6.98
la rioja,42.25,-2.5,16.03,93,96,1.17
qaqortoq,60.7167,-46.0333,8.98,75,100,0.76
gorontalo,0.5412,123.0595,24.17,92,26,0.82
lerwick,60.1545,-1.1494,13.83,98,100,2.67
horsham,51.064,-0.3272,20.06,83,0,2.57
sosnovo-ozerskoye,52.5249,111.5418,18.44,67,69,0.71
conde,-7.2597,-34.9075,24.7,83,0,2.57
roma,43.2128,-75.4557,20.14,74,40,4.63
yegorlykskaya,46.5656,40.6562,17.97,36,0,2.48
jiangzi,28.95,89.6333,4.83,82,100,1.32
kwang binh,17.4833,106.6,28.79,69,100,4.14
afaahiti,-17.75,-149.2833,24.77,79,36,2.17
happy valley-goose bay,53.3168,-60.3315,15.17,58,75,6.69
amahai,-3.3333,128.9167,25.41,82,48,2.3
bayanhongor,46.7167,100.1167,11.25,83,100,1.33
chunskiy,56.0815,99.6342,11.28,89,30,0.81
awjilah,29.1081,21.2869,27.9,52,0,5.64
mount gambier,-37.8333,140.7667,13.44,57,99,5.43
sotkamo,64.1333,28.4167,11.86,98,56,1.66
wynyard,-41.0,145.7167,10.5,89,96,2.17
newman,37.3138,-121.0208,38.1,14,5,4.2
saldanha,-33.0117,17.9442,11.25,79,100,1.15
bozhou,33.8772,115.7703,26.0,88,35,2.17
batticaloa,7.7102,81.6924,26.4,82,100,2.07
invercargill,-46.4,168.35,7.23,78,90,3.58
tiksi,71.6872,128.8694,1.98,98,100,4.64
dabakala,8.3667,-4.4333,22.98,96,100,2.44
porto novo,6.4965,2.6036,24.75,87,100,4.1
guelendeng,10.9176,15.5501,22.48,93,97,2.05
farafangana,-22.8167,47.8333,20.54,90,2,1.65
ribeira grande,38.5167,-28.7,23.21,79,100,1.79
dryden,49.7833,-92.7503,26.16,47,40,2.57
benguela,-12.5763,13.4055,21.5,81,69,0.95
anadyr,64.75,177.4833,12.78,76,75,6.0
hawaiian paradise park,19.5933,-154.9731,28.26,75,13,1.34
arroyo,41.6096,-4.7969,23.02,56,0,3.09
papatowai,-46.5619,169.4708,9.16,69,47,3.81
vila franca do campo,37.7167,-25.4333,18.27,64,34,1.43
sisimiut,66.9395,-53.6735,7.23,77,10,1.4
constantia,44.1833,28.65,23.72,72,1,5.12
arraial do cabo,-22.9661,-42.0278,19.92,60,0,10.29
mana,5.6592,-53.7767,27.0,83,12,7.07
alice springs,-23.7,133.8833,8.75,71,0,1.03
iwanai,42.9744,140.5089,25.61,93,100,2.62
kidal,18.4411,1.4078,32.53,41,71,1.88
chinde,26.8212,87.7095,23.9,88,91,1.37
port elizabeth,-33.918,25.5701,10.17,85,0,2.06
kani keli,-12.9536,45.1033,24.9,72,5,2.53
kodiak,57.79,-152.4072,16.73,51,0,7.2
sitka,57.0531,-135.33,17.94,72,75,6.17
kapuskasing,49.4169,-82.4331,25.0,50,40,2.57
enewetak,11.3474,162.3373,28.47,78,100,6.47
keren,15.7778,38.4581,19.92,92,57,1.1
wundanyi,-3.4019,38.364,14.9,69,4,1.91
ancud,-41.8697,-73.8203,9.73,85,100,4.86
haiku-pauwela,20.9219,-156.3051,30.09,60,40,7.72
angaur state,6.906,134.13,28.65,70,56,0.89
san antonio de pale,-1.4014,5.6325,23.34,87,75,5.87
namibe,-15.1961,12.1522,18.34,87,44,1.59
chilliwack,49.1747,-121.9443,19.54,76,100,2.57
vejen,55.4833,9.15,14.03,82,7,3.6
madugula,17.9167,82.8,24.39,85,89,1.25
whitehorse,60.7161,-135.0538,18.18,45,40,2.06
hoquiam,46.9809,-123.8893,18.06,77,100,5.14
nerchinsk,51.9833,116.5833,23.7,41,14,1.85
korla,41.7597,86.1469,24.73,45,5,7.35
thunder bay,48.4001,-89.3168,25.95,50,40,4.12
hood river,45.7054,-121.5215,22.39,51,93,6.71
suva,-18.1416,178.4415,24.71,61,75,6.17
bethel,41.3712,-73.414,22.46,74,40,4.63
orapa,-21.2833,25.3667,17.05,14,0,4.37
goondiwindi,-28.55,150.3167,15.18,81,100,6.52
florida,28.7505,-82.5001,32.22,75,40,1.54
vorkuta,67.5,64.0,11.72,72,100,5.54
bandarbeyla,9.4942,50.8122,25.51,70,39,12.65
georgetown,5.4112,100.3354,25.97,78,20,2.06
sekong,-6.3996,106.0252,20.79,98,0,0.81
sakakah,29.9697,40.2064,31.05,25,0,2.63
vuktyl,63.8567,57.3094,12.32,91,100,1.4
port mathurin,-19.6833,63.4167,21.76,69,100,9.22
talnakh,69.4865,88.3972,14.13,63,100,1.18
mogok,22.9167,96.5,18.17,96,93,0.59
port augusta,-32.5,137.7667,15.55,48,0,2.53
port saint john's,-31.6229,29.5448,14.62,77,61,3.84
pacific grove,36.6177,-121.9166,18.13,88,0,4.63
usoke,-5.1667,32.35,20.66,37,17,2.16
inari,68.906,27.0288,12.57,80,7,1.38
howrah,22.5892,88.3103,29.0,94,75,1.54
palikir - national government center,6.9248,158.1611,30.41,74,75,2.06
tamanrasset,22.785,5.5228,31.95,20,40,7.72
barro alto,-11.7608,-41.9117,26.28,43,85,0.83
miranpur,29.3,77.9333,25.39,94,100,2.77
puerto baquerizo moreno,-0.9,-89.6,22.55,78,75,7.2
sandakan,5.8402,118.1179,24.82,100,20,1.54
zalesovo,53.9939,84.7431,13.37,79,96,2.49
cadale,2.7603,46.3222,24.84,88,33,9.83
pachino,36.7186,15.0907,27.5,70,0,1.98
gilgit,35.9221,74.3087,25.53,53,0,2.17
vanino,49.0869,140.2543,20.51,69,34,0.94
richards bay,-28.783,32.0377,18.05,79,100,2.31
lamesa,32.7376,-101.951,36.78,19,0,7.3
ljusdal,61.8288,16.0913,10.38,94,1,1.76
nema,57.5067,50.5011,12.42,97,100,4.84
hermanus,-34.4187,19.2345,12.02,80,100,2.16
egilsstadir,65.2653,-14.3948,10.95,82,100,2.57
ivanteyevka,55.9711,37.9208,12.33,86,100,0.45
kailua-kona,19.6406,-155.9956,27.21,86,21,0.89
cole harbour,44.6724,-63.4751,20.55,83,45,5.36
aasiaat,68.7098,-52.8699,5.09,73,4,4.65
ulaangom,49.9811,92.0667,17.81,63,100,1.87
coyhaique,-45.5752,-72.0662,4.3,99,100,2.2
stanley,54.868,-1.6985,12.93,87,0,3.6
walvis bay,-22.9575,14.5053,12.89,85,0,1.88
manta,-0.95,-80.7333,24.88,78,20,6.69
neiafu,-18.65,-173.9833,24.38,53,20,3.09
santa elena de uairen,4.6167,-61.1333,17.98,96,72,0.67
marivan,35.5219,46.176,23.77,22,0,1.3
nuuk,64.1835,-51.7216,15.34,41,20,4.12
cartagena,10.3997,-75.5144,30.79,66,75,6.17
aral,40.5156,81.2636,22.18,55,67,4.66
baley,51.6,116.6333,22.04,42,7,1.75
vila velha,-20.3297,-40.2925,22.19,76,20,8.05
krasnoshchekovo,51.6708,82.7289,17.81,38,98,2.41
cove,7.221,2.3402,23.86,84,99,3.26
sao vicente,-23.9631,-46.3919,15.55,26,28,0.72
vadul lui voda,47.0917,29.0756,21.72,37,28,0.56
turkestan,43.3333,68.25,25.14,28,88,2.3
visakhapatnam,17.69,83.2093,28.3,81,91,2.99
fontanelas,38.8472,-9.4372,19.99,91,9,6.64
fale old settlement,-9.3852,-171.2468,27.58,78,60,7.76
chamical,-30.36,-66.314,12.7,25,0,5.01
langxiang,46.95,128.8833,20.69,89,54,0.83
inarajan village,13.2736,144.7484,29.88,85,75,3.65
san rafael del sur,11.8485,-86.4384,26.85,80,100,3.53
saipan,15.1355,145.701,31.39,74,0,2.57
labrador city,52.9463,-66.9114,19.95,56,100,4.63
the pas,53.8251,-101.2541,28.01,28,0,1.54
norrtalje,59.758,18.705,14.46,78,36,2.67
beyneu,45.3167,55.2,26.33,61,25,5.29
ballycastle,55.2044,-6.243,13.63,73,10,4.19
st. john's,47.5649,-52.7093,22.39,71,40,6.69
acapulco de juarez,16.8634,-99.8901,27.08,79,68,2.71
praia da vitoria,38.7333,-27.0667,25.14,73,20,2.41
port alfred,-33.5906,26.891,13.79,69,100,3.9
isla vista,34.4133,-119.861,27.13,52,1,1.79
nova sintra,14.8667,-24.7167,26.76,82,27,1.67
nuriootpa,-34.4833,139.0,15.42,51,0,3.84
muborak,39.2553,65.1528,29.26,25,22,4.64
vilyuchinsk,52.9306,158.4028,14.62,92,100,0.71
iglesias,39.3114,8.535,24.11,49,0,1.66
dongcun,36.7767,121.1597,27.01,91,1,1.14
stephenville,32.2207,-98.2023,36.07,32,0,3.6
kone,-21.0595,164.8658,23.05,59,100,5.04
saint-francois,46.4154,3.9054,21.73,83,0,1.54
ingeniero jacobacci,-41.3427,-69.5448,8.84,62,100,3.2
ulladulla,-35.35,150.4667,15.1,76,94,2.74
dingwall,57.5953,-4.4272,13.82,85,100,1.67
moires,35.0532,24.8744,27.29,53,0,3.13
lusaka,-15.4067,28.2871,17.4,29,0,2.15
uturoa,-16.7333,-151.4333,25.01,83,77,3.42
ceylanpinar,36.8472,40.05,29.37,33,1,4.4
palmer,42.1584,-72.3287,20.82,67,75,4.63
arafat,39.0344,44.6198,16.52,66,38,1.11
mount pearl,47.5166,-52.7813,20.95,75,40,6.69
tiznit,29.5833,-9.5,30.1,36,19,0.31
tainan,22.9908,120.2133,27.95,89,75,1.54
fuman,37.2273,49.3142,25.63,56,7,1.72
callao,-12.0667,-77.15,16.16,72,100,3.6
sakaiminato,35.55,133.2333,26.99,89,75,1.54
petropavlovsk-kamchatsky,53.0452,158.6483,14.33,88,75,2.0
sittwe,20.15,92.9,26.06,88,100,2.03
aykhal,66.0,111.5,5.09,97,100,8.73
dudinka,69.4058,86.1778,10.94,65,90,1.8
harper,4.375,-7.7169,24.32,91,99,5.25
keminmaa,65.8596,24.8228,11.87,100,36,0.51
pilar do sul,-23.8131,-47.7164,9.97,58,38,2.68
novo aripuana,-5.1206,-60.3797,30.66,36,84,1.24
hilo,19.7297,-155.09,26.21,83,100,2.06
koupela,12.1794,-0.3517,24.22,92,100,3.69
veraval,20.9,70.3667,27.1,85,100,6.01
songadh,21.1667,73.5667,23.71,95,84,2.12
kupang,-10.1667,123.5833,26.32,78,20,5.66
badger,64.8,-147.5333,14.4,68,75,5.66
opuwo,-18.0607,13.84,18.48,14,0,2.14
hailar,49.2,119.7,20.03,62,0,1.4
polyarnyy,69.1989,33.4478,13.81,76,95,2.01
touros,-5.1989,-35.4608,24.1,87,6,4.39
bandhi,26.5861,68.3006,30.85,68,74,4.74
taybad,34.74,60.7756,28.54,22,0,5.24
hamilton,39.1834,-84.5333,26.47,50,75,4.12
taiynsha,53.8478,69.7639,14.6,84,62,4.85
rabaul,-4.1967,152.1721,27.54,73,84,1.1
betio village,1.358,172.9211,28.49,73,51,4.21
moranbah,-22.0016,148.0466,17.19,87,100,3.14
kill devil hills,36.0307,-75.676,23.24,80,40,2.06
lompoc,34.6391,-120.4579,19.73,68,20,5.14
jiagedaqi,50.4167,124.1167,20.88,61,0,1.51
lhokseumawe,5.1801,97.1507,24.73,91,33,1.86
nyala,12.05,24.8833,24.27,78,99,3.58
las tablas,7.7667,-80.2833,28.43,99,85,2.05
howard springs,-12.497,131.047,17.21,98,28,2.72
mahina,-17.5065,-149.489,26.87,78,75,8.23
geraldton,-28.7667,114.6,10.23,93,20,5.66
alofi,-19.0595,-169.9187,22.94,64,75,5.14
carbonear,47.7332,-53.2148,20.19,76,91,5.87
mokhsogollokh,61.4681,128.9203,19.56,81,82,0.76
gadzhiyevo,69.2551,33.3362,14.05,77,100,1.62
kavaratti,10.5669,72.642,27.65,82,93,9.06
mogocha,53.7333,119.7667,20.75,53,5,0.93
city of balikpapan,-1.242,116.8942,24.97,88,75,3.09
port lincoln,-34.7333,135.8667,15.89,59,100,5.68
radcliffe,53.55,-2.3333,14.43,81,74,1.24
namtsy,62.7161,129.6658,19.76,36,88,1.95
tsetserleg,47.475,101.4542,12.35,87,97,1.13
nantucket,41.2835,-70.0995,23.06,64,0,6.17
reggane,26.7158,0.1714,35.9,10,0,5.55
beli,7.8587,10.9719,22.96,95,100,1.25
axum,14.1245,38.7244,14.75,95,100,2.19
todos santos,23.45,-110.2167,28.58,76,47,1.95
karratha,-20.7377,116.8463,20.42,52,68,2.78
linden,6.0,-58.3,26.41,78,71,1.79
rio branco,-9.9747,-67.81,29.34,39,22,2.06
troitsko-pechorsk,62.7084,56.1964,11.06,86,98,2.4
changji,44.0167,87.3167,22.44,49,0,3.0
elliot lake,46.3834,-82.6331,23.85,48,65,1.57
adigrat,14.277,39.462,15.17,87,100,2.57
santa isabel,-23.3156,-46.2214,8.99,91,81,1.37
pahrump,36.2083,-115.9839,37.82,20,13,4.47
mala,-12.6581,-76.6308,15.76,85,48,2.64
kruisfontein,-34.0033,24.7314,9.27,75,100,2.06
salmon arm,50.6998,-119.3024,26.62,44,34,1.03
bucerias,20.75,-105.3333,31.66,79,84,2.67
gizo,-8.103,156.8419,27.6,78,90,4.47
mankono,8.0586,-6.1897,22.36,97,97,1.92
bodden town,19.2833,-81.25,31.66,77,20,3.6
al matlin,37.2452,10.05,28.85,62,0,5.13
cabo san lucas,22.8909,-109.9124,28.96,69,78,4.59
vanimo,-2.6741,141.3028,27.43,79,48,2.48
i-n-salah,27.1935,2.4607,34.49,11,0,6.35
ust-nera,64.5667,143.2,10.85,89,88,2.69
barentu,15.1139,37.5928,22.61,87,90,2.1
villa gesell,-37.2639,-56.973,6.67,72,18,3.67
salekhard,66.53,66.6019,12.08,91,100,5.55
san andres,12.5847,-81.7006,30.01,79,20,3.6
peace river,56.2501,-117.286,30.17,37,0,3.6
matthew town,20.95,-73.6667,29.58,74,16,5.55
tacotalpa,17.6,-92.8167,28.65,87,72,2.1
caninde,-4.3589,-39.3117,23.88,65,1,0.65
ziro,27.6333,93.8333,17.48,99,95,0.74
las terrenas,19.311,-69.5428,27.94,84,1,5.49
bakanas,44.8081,76.2772,24.19,31,33,3.6
tazacorte,28.629,-17.9293,23.97,84,100,7.2
sinabang,2.4803,96.3801,25.48,85,57,0.98
merke,42.8728,73.1786,22.5,32,20,3.06
minas de marcona,-15.2119,-75.1103,12.6,73,8,3.94
padampur,29.6833,73.6167,31.34,63,25,0.79
nowshahr,36.649,51.496,25.97,78,75,1.03
veseloyarsk,51.2836,81.1056,17.34,42,100,3.39
uliastay,47.7417,96.8444,12.36,93,100,1.16
tazovsky,67.4667,78.7,10.67,99,100,1.64
maintirano,-18.0667,44.0167,22.67,83,0,3.59
tura,25.5198,90.2201,23.75,97,99,2.27
valparaiso,-33.0393,-71.6273,15.56,61,0,2.06
mitsamiouli,-11.3847,43.2844,24.76,75,26,2.49
olonkinbyen,70.9221,-8.7187,5.63,93,100,6.64
ulsteinvik,62.3432,5.8487,16.16,80,100,0.45
'ain benian,36.8028,2.9219,26.13,84,0,1.92
taksimo,56.3444,114.8794,21.37,78,92,0.76
aripuana,-9.1667,-60.6333,27.0,36,88,0.41
isla mujeres,21.2311,-86.731,29.2,74,7,3.36
shimoda,34.6667,138.95,29.86,65,2,0.81
linxia chengguanzhen,35.6003,103.2064,15.06,52,26,2.5
osh,40.5151,72.8083,17.36,68,0,3.0
kiunga,-6.1219,141.2906,23.45,98,94,1.06
shush,32.1942,48.2436,36.48,15,0,3.67
tofol,5.3248,163.0078,28.63,73,97,5.07
nadi,-17.8,177.4167,26.0,47,75,6.69
melfort,52.8667,-104.6177,27.07,29,2,4.12
la sarre,48.8002,-79.1996,22.44,56,42,1.96
severnoye,56.3491,78.3619,9.08,93,7,2.62
rongelap,11.1635,166.8941,28.18,77,100,3.93
panjakent,39.4952,67.6093,24.72,32,0,3.04
talara,-4.5772,-81.2719,21.42,73,0,6.69
east ballina,-28.8667,153.5833,19.58,76,100,6.95
nouadhibou,20.931,-17.0347,22.99,83,75,5.66
mombetsu,44.3525,143.3525,22.33,88,49,2.17
la passe,45.5549,-0.8967,20.29,89,5,4.47
caconda,-13.7333,15.0667,15.72,19,0,1.51
seven pagodas,12.6264,80.1722,28.56,80,74,3.03
annaba,36.9,7.7667,26.98,83,0,2.06
bemidji,47.4736,-94.8803,26.31,42,40,2.57
rolla,37.9514,-91.7713,25.29,82,100,2.06
kasamwa,-2.85,32.4333,20.5,54,15,0.87
susuman,62.7833,148.1667,13.04,71,92,1.46
peniche,39.3558,-9.3811,21.17,91,13,5.79
esens,53.6487,7.6127,20.0,74,0,4.12
brandon,27.9378,-82.2859,30.02,76,0,3.6
murun-kuren,49.6342,100.1625,14.52,89,80,1.58
okha,53.5739,142.9478,15.49,90,100,2.03
genzano di lucania,40.8479,16.0308,23.51,39,0,2.07
kramfors,62.9316,17.7765,14.89,88,3,1.03
suncho corral,-27.9336,-63.4294,14.9,22,0,4.36
wysokie mazowieckie,52.9166,22.5171,10.29,91,3,2.72
khamis mushait,18.3064,42.7292,22.34,73,20,0.0
zaysan,47.4667,84.8667,17.2,52,10,2.41
meads,38.4126,-82.7091,25.93,44,0,2.24
basco,20.4487,121.9702,29.56,79,100,8.98
aydincik,36.1437,33.3202,30.48,42,0,4.47
tolanaro,-25.0319,46.9987,17.04,82,0,2.06
vilyuysk,63.7553,121.6247,12.36,87,100,2.83
virac,13.6333,124.2167,24.38,82,92,1.4
mont-dore,-22.2833,166.5833,22.78,99,100,6.38
bogdanovich,56.7803,62.0494,12.9,98,94,3.35
vershino-darasunskiy,52.35,115.5167,20.76,50,14,1.38
letlhakane,-21.4167,25.5833,17.1,15,0,4.19
wanning,18.8003,110.3967,27.46,82,100,2.84
homun,20.7333,-89.2833,30.03,65,66,3.1
bodaybo,57.8506,114.1933,18.58,98,95,1.24
krasnyy chikoy,50.3643,108.7512,18.47,75,4,1.23
sequeira,40.5536,-7.2259,14.63,95,20,2.61
dalnegorsk,44.5604,135.5701,24.09,69,12,0.75
santo antonio,-6.3106,-35.4789,20.99,91,0,3.19
puerto armuelles,8.2833,-82.8667,28.94,74,100,3.58
morant bay,17.8815,-76.4093,28.35,82,100,4.17
cannonvale,-20.2833,148.7,18.96,80,23,2.52
vernon,50.2581,-119.2691,29.4,28,17,1.03
as sulayyil,20.4607,45.5779,34.02,17,65,2.54
vilhena,-12.7406,-60.1458,26.12,29,9,6.17
jaffna,9.6685,80.0074,27.39,82,99,3.41
dhing,26.4667,92.4667,25.4,91,80,2.35
manaure,11.7751,-72.4445,32.41,50,4,6.87
villa emilio carranza,19.9667,-96.6,29.04,70,85,2.33
weno,7.4515,151.8468,29.97,84,40,1.54
mbandaka,0.0487,18.2603,23.29,69,69,0.75
lobujya,27.95,86.8167,1.61,91,99,0.61
breckenridge,32.7557,-98.9023,39.11,25,0,7.57
kavalerovo,44.2661,135.0572,24.43,69,8,0.59
severo-yeniseyskiy,60.3725,93.0408,8.18,96,5,1.92
gobabis,-22.45,18.9667,14.22,18,1,3.55
sardarapat,40.1321,44.0097,22.52,54,32,5.42
tralee,52.2704,-9.7026,16.37,88,75,4.27
quesnel,52.9999,-122.5029,28.28,39,0,1.54
tonj,7.2737,28.6822,21.57,88,27,1.76
flying fish cove,-10.4217,105.6791,23.82,73,20,4.63
katsuura,35.1333,140.3,28.37,83,40,3.14
bhamo,24.2667,97.2333,24.18,99,81,0.41
argungu,12.7433,4.5269,25.81,82,52,3.36
alghero,40.5589,8.3181,25.05,69,0,0.51
talcahuano,-36.7167,-73.1167,11.82,76,0,3.09
ouarzazat,30.9189,-6.8934,29.16,26,40,3.6
kudahuvadhoo,2.6708,72.8944,25.47,91,100,9.74
nova vicosa,-17.8919,-39.3719,24.13,88,65,5.0
mhamid,29.82,-5.72,35.76,19,27,6.22
lamu,-2.2717,40.902,24.39,82,51,6.51
sechura,-5.5569,-80.8222,20.29,66,32,8.17
malango,-2.9627,119.9001,19.78,93,77,0.49
san pedro,14.35,121.0167,25.98,93,20,2.06
saudarkrokur,65.7461,-19.6394,8.58,96,100,6.69
concepcion,-36.827,-73.0498,11.89,76,0,3.09
roberval,48.5168,-72.2324,21.35,60,20,5.66
grand-bassam,5.2118,-3.7388,24.17,91,60,4.66
chanthaburi,12.8333,102.1667,20.07,96,100,1.09
orichi,58.4036,49.0572,14.4,65,99,5.11
villanueva,15.3167,-88.0,26.55,94,20,3.6
banda aceh,5.5577,95.3222,26.08,80,77,1.58
filadelfia,39.9523,-75.1638,27.16,50,40,6.17
chifeng,42.2683,118.9636,18.09,88,100,1.39
charters towers,-20.1,146.2667,17.42,77,4,3.27
tongren,27.7172,109.1853,23.58,92,28,0.44
vozhega,60.4725,40.2213,11.06,96,96,2.11
kapit,2.0167,112.9333,22.83,99,83,0.43
farasan,16.7022,42.1183,30.49,82,100,0.86
barra de santo antonio,-9.4047,-35.5072,23.96,82,0,4.19
smithers,54.7804,-127.1743,21.18,52,75,3.09
labuan,5.2767,115.2417,24.2,100,40,1.03
kurgan,55.45,65.3333,15.52,95,100,3.02
nizhnyaya tavda,57.6731,66.1725,13.17,96,100,5.64
lautoka,-17.6167,177.4667,25.92,47,75,6.69
pleiku,13.9833,108.0,21.09,98,100,1.22
ixtapa,20.7,-105.2,31.24,79,84,1.79
remire-montjoly,4.9167,-52.2667,28.02,74,0,3.6
san patricio,28.017,-97.5169,32.73,56,68,6.97
whakatane,-37.9585,176.9854,13.06,63,1,1.79
yiyang,28.5892,112.3283,26.31,82,30,0.3
ebon,4.582,168.6964,28.94,72,100,5.74
hinthada,17.6333,95.4667,26.28,87,100,3.9
zhaobaoshan,29.9695,121.6875,28.76,83,95,1.8
vredendal,-31.6683,18.5012,12.64,57,100,1.43
padang,-0.9492,100.3543,24.32,79,5,2.04
gonabad,34.3529,58.6837,27.74,23,0,3.86
sherman,33.6357,-96.6089,35.01,46,0,4.63
christiana,-27.914,25.1611,10.42,29,52,3.32
beau vallon,-20.4189,57.6953,22.13,64,20,5.14
panyam,9.4167,9.2167,18.16,94,99,2.55
gebeit,21.0667,36.3167,31.46,32,36,0.97
keflavik,64.0049,-22.5624,10.24,81,0,10.29
hays,30.0502,-98.0336,35.48,49,6,7.16
tual,-5.6667,132.75,25.18,84,76,8.22
borodino,55.9106,94.8983,15.06,71,95,1.41
luang prabang,19.8856,102.1347,23.31,100,100,0.48
de aar,-30.6497,24.0123,9.81,25,100,2.63
nanaimo,49.1663,-123.936,19.83,78,100,7.2
fada,7.25,4.0667,22.74,94,100,2.16
rocha,-34.4833,-54.3333,4.09,81,11,2.77
likiep,9.8251,169.3107,28.19,76,87,4.36
attapeu,14.8,106.8333,23.52,99,97,0.05
jiwani,25.05,61.7417,27.21,80,83,3.34
pervomayskoye,43.919,46.7102,25.56,45,93,2.72
keelung,25.1283,121.7419,30.75,70,67,0.76
